"p","a","b","x"
-2.,-2,-0.1,-0.05270457118765177
-2.,2,-0.1,-0.047673101479926386
-2.,0,-0.1,-0.04993773320979748
-2.,-2,0.1,0.047673101479926386
-2.,2,0.1,0.05270457118765177
-2.,0,0.1,0.04993773320979748
-2.,-2,0,0
-2.,2,0,0
-2.,0,0,0
-1.99,-2,-0.1,-0.05299950907618599
-1.99,2,-0.1,-0.0478909880903685
-1.99,0,-0.1,-0.05018773201846663
-1.99,-2,0.1,0.0478909880903685
-1.99,2,0.1,0.05299950907618599
-1.99,0,0.1,0.05018773201846663
-1.99,-2,0,0
-1.99,2,0,0
-1.99,0,0,0
-1.98,-2,-0.1,-0.053297949989977375
-1.98,2,-0.1,-0.04811078083310841
-1.98,0,-0.1,-0.05044023690233903
-1.98,-2,0.1,0.04811078083310841
-1.98,2,0.1,0.053297949989977375
-1.98,0,0.1,0.05044023690233903
-1.98,-2,0,0
-1.98,2,0,0
-1.98,0,0,0
-1.97,-2,-0.1,-0.05359995995054931
-1.97,2,-0.1,-0.04833250354352166
-1.97,0,-0.1,-0.05069528553759134
-1.97,-2,0.1,0.04833250354352166
-1.97,2,0.1,0.05359995995054931
-1.97,0,0.1,0.05069528553759134
-1.97,-2,0,0
-1.97,2,0,0
-1.97,0,0,0
-1.96,-2,-0.1,-0.05390560672588805
-1.96,2,-0.1,-0.048556180432608995
-1.96,0,-0.1,-0.050952916354392856
-1.96,-2,0.1,0.048556180432608995
-1.96,2,0.1,0.05390560672588805
-1.96,0,0.1,0.050952916354392856
-1.96,-2,0,0
-1.96,2,0,0
-1.96,0,0,0
-1.95,-2,-0.1,-0.05421495989088515
-1.95,2,-0.1,-0.04878183609388745
-1.95,0,-0.1,-0.05121316855570554
-1.95,-2,0.1,0.04878183609388745
-1.95,2,0.1,0.05421495989088515
-1.95,0,0.1,0.05121316855570554
-1.95,-2,0,0
-1.95,2,0,0
-1.95,0,0,0
-1.94,-2,-0.1,-0.05452809089039198
-1.94,2,-0.1,-0.04900949551041851
-1.94,0,-0.1,-0.05147608213664383
-1.94,-2,0.1,0.04900949551041851
-1.94,2,0.1,0.05452809089039198
-1.94,0,0.1,0.05147608213664383
-1.94,-2,0,0
-1.94,2,0,0
-1.94,0,0,0
-1.93,-2,-0.1,-0.05484507310502312
-1.93,2,-0.1,-0.0492391840619764
-1.93,0,-0.1,-0.051741697904413256
-1.93,-2,0.1,0.0492391840619764
-1.93,2,0.1,0.05484507310502312
-1.93,0,0.1,0.051741697904413256
-1.93,-2,0,0
-1.93,2,0,0
-1.93,0,0,0
-1.92,-2,-0.1,-0.05516598191985315
-1.92,2,-0.1,-0.04947092753235878
-1.92,0,-0.1,-0.05201005749884814
-1.92,-2,0.1,0.04947092753235878
-1.92,2,0.1,0.05516598191985315
-1.92,0,0.1,0.05201005749884814
-1.92,-2,0,0
-1.92,2,0,0
-1.92,0,0,0
-1.91,-2,-0.1,-0.05549089479616053
-1.91,2,-0.1,-0.049704752116843096
-1.91,0,-0.1,-0.05228120341356898
-1.91,-2,0.1,0.049704752116843096
-1.91,2,0.1,0.05549089479616053
-1.91,0,0.1,0.05228120341356898
-1.91,-2,0,0
-1.91,2,0,0
-1.91,0,0,0
